[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.54138379484 1.38055897786 22.4344550638 43.0968991772 43.0968991772 16214.1089109 54.0707544005 0.0
-2.91619756014 0.600057266063 243.973385227 465.644264988 465.644264988 6053.65223012 56.0343245105 1283.55152948
-3.10299292531 1.02203701639 -1.0 -1.0 -1.0 6403.49264706 51.9194412608 395.41468904
-3.10299292531 1.02203701639 -1.0 -1.0 -1.0 6403.49264706 -1340.54838075 395.41468904
-2.54830911187 1.25217458411 176.450666797 367.603308978 367.603308978 6430.51470588 56.0571049942 726.340499994
-0.775281816919 1.57714264315 5.34959555191 10.4262328077 10.4262328077 11658.1699346 69.8138112046 0.0
-0.74317138471 0.975994989124 2.13815549346 3.87796474112 3.87796474112 6322.09558824 46.1346484518 270.962900218
-3.44213290792 0.48970001605 -1.0 -1.0 -1.0 6218.3908046 51.0681548603 176.322455433
-3.18836595656 0.8111041255 -1.0 -1.0 -1.0 4987.33660131 42.5895897178 252.029756876
-3.04428191744 1.03839201249 -1.0 -1.0 -1.0 10788.7027915 40.4796031303 0.0
-3.04428191744 1.03839201249 -1.0 -1.0 -1.0 10788.7027915 -22.049333826 0.0
-3.02605994222 1.03188003363 -1.0 -1.0 -1.0 5222.91666667 42.1450946464 0.0
-2.90024636628 1.1627436528 -1.0 -1.0 -1.0 5950.57189542 51.5745901287 306.827193988
-2.95165932126 1.57699414645 -1.0 -1.0 -1.0 10224.137931 78.8485201589 0.0
-3.1105039785 1.04660067248 -1.0 -1.0 -1.0 8989.33823529 55.8772246561 374.835299073
-1.75009532594 1.65539911541 65.7794855028 129.769546567 129.769546567 6962.54084967 61.2536331181 583.117999994
-3.46981185528 0.701139388557 -1.0 -1.0 -1.0 3106.61764706 58.9661847522 0.0
-2.89352751614 1.34751770075 -1.0 -1.0 -1.0 6107.7264239 61.2473234855 687.020947081
-1.68062763284 2.33362207809 100.457168429 168.330040269 168.330040269 7416.76470588 59.6113029619 934.50059568
-2.29114549807 0.757295332084 67.6137150002 142.608559181 142.608559181 7338.65546218 58.3586312884 65.7059566243
-2.93410325229 1.22664924841 -1.0 -1.0 -1.0 6682.10784314 55.282907563 105.205963337
-0.449527548974 1.91867663532 7.64857117804 5.67887287224 5.67887287224 6498.88613861 40.7619401817 0.0
-3.08460348854 1.83460382874 -1.0 -1.0 -1.0 15958.3333333 47.6348070107 260.421437248
-2.96901165661 0.713835497922 -1.0 -1.0 -1.0 5318.75 26.8559884831 63.0773905585
-2.88893249186 1.97681581055 -1.0 -1.0 -1.0 5472.01797386 41.6094135812 234.859323935
-3.02678466996 1.08318245339 1580.44070347 1896.11339981 1896.11339981 6225.56941969 54.971987701 2599.54530001
-3.02678466996 1.08318245339 1580.44070347 1896.11339981 1896.11339981 6225.56941969 57.6751297683 2599.54530001
0.415415495841 4.42847225724 3.34181484516 4.4746524128 4.4746524128 6065.49019608 24.996005934 0.0
-3.09888850338 1.06487464848 -1.0 -1.0 -1.0 8644.11764706 90.248164208 0.0
-2.81658996848 2.02261165104 -1.0 -1.0 -1.0 9398.52941176 70.5649535634 233.857299993
-2.65433338914 1.9050141221 -1.0 -1.0 -1.0 7279.37091503 64.9610845152 154.878852489
-2.90947674425 1.43108594215 -1.0 -1.0 -1.0 6503.48258706 50.2455543404 158.820049934
-2.89604397104 1.34370750338 -1.0 -1.0 -1.0 7661.94852941 46.890609484 1592.53317999
-2.89604397104 1.34370750338 -1.0 -1.0 -1.0 7661.94852941 56.4881948416 1592.53317999
-3.13779977678 0.908264802526 -1.0 -1.0 -1.0 6391.66666667 57.857722788 176.306747957
-2.98113828238 1.37353894249 -1.0 -1.0 -1.0 5277.75735294 72.6917060551 65.9378651865
-3.11948634677 1.0034732962 -1.0 -1.0 -1.0 6212.41830065 52.0942783589 281.466294879
-3.27209023525 0.795947486663 -1.0 -1.0 -1.0 5097.70114943 53.4280796159 300.087000013
-3.19457165592 1.07948381665 -1.0 -1.0 -1.0 9323.52941176 44.4117755709 0.0
-1.96178479659 1.04206856061 33.5346205069 63.5559070593 63.5559070593 5979.37091503 60.0932450029 541.66148449
-1.71625229237 0.757481948466 23.3516978499 42.2870919201 42.2870919201 12989.8897059 65.4639915924 210.218465411
-2.87284748969 1.37118841838 -1.0 -1.0 -1.0 21231.6176471 66.9619909035 103.231050092
-2.99678298972 1.26593099719 -1.0 -1.0 -1.0 6205.67226891 49.6190928797 545.681542224
-3.26561333208 0.768397728077 -1.0 -1.0 -1.0 6185.29411765 55.1210587952 505.54669
-2.93508431508 0.962571500445 -1.0 -1.0 -1.0 3989.88970588 39.4318772239 92.3904743075
-3.0657392811 0.952690899856 -1.0 -1.0 -1.0 11642.4836601 49.7563837631 276.193408987
-1.54778489035 0.748914810042 19.6855443237 34.0140353592 34.0140353592 6143.09640523 58.0132863516 293.608481971
-2.79461004882 1.18272496205 886.80531394 1220.00975406 1220.00975406 5827.58520075 55.4961651043 2316.13851804
-0.101110408732 1.10245785724 1.41644713565 2.29035993128 2.29035993128 10800.5514706 34.4967236669 0.0
-2.64427619709 1.20365887919 686.754217511 1002.20130906 1002.20130906 6341.97561377 57.6959804434 1640.73914105
-0.988989119214 2.0735945186 10.2664278847 20.6591959401 20.6591959401 22045.9770115 59.2758538057 151.157840077
-1.35142046191 1.4156443826 18.5542799192 28.9617546871 28.9617546871 5989.37908497 47.1502015458 211.603057954
-3.11565023887 1.35331576645 -1.0 -1.0 -1.0 5831.25 49.1702380352 198.221428879
-3.38021616949 0.648066736865 -1.0 -1.0 -1.0 10137.9084967 50.8188426648 0.0
-2.91299265536 1.24964307117 -1.0 -1.0 -1.0 9314.25653595 63.78619747 411.281944466
-1.04815368859 1.01736973376 7.63179371976 14.2033067179 14.2033067179 13699.1421569 66.2042579945 179.775476762
-1.73238849579 0.778642723387 18.0833542183 33.1666128442 33.1666128442 8395.56650246 59.0847931413 331.155433238
