[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-3.17160415234 0.644294667541 -1.0 -1.0 -1.0 6025.51903114 54.3224703228 1163.52041869
-3.17160415234 0.644294667541 -1.0 -1.0 -1.0 6025.51903114 57.2871619899 1163.52041869
-0.615861269066 2.08714747728 5.25234557573 13.2000824606 13.2000824606 23816.6666667 70.4745955776 390.525100913
-1.79939826256 0.685697646331 21.8127474572 43.8206557802 43.8206557802 5408.37418301 48.7084414709 0.0
-2.74250802834 1.38733225654 -1.0 -1.0 -1.0 7283.66013072 55.8859986083 171.411369763
-2.86717617838 2.46207833812 -1.0 -1.0 -1.0 21766.9117647 67.2523098492 153.583286395
-3.23540544733 0.681680233055 -1.0 -1.0 -1.0 6359.47712418 57.1982963329 422.95155018
-2.7355755506 1.64091168336 -1.0 -1.0 -1.0 8224.3226601 55.0920119269 369.732661283
-3.27752002899 0.661607217706 -1.0 -1.0 -1.0 5727.05406049 53.146122857 1444.476557
-3.27752002899 0.661607217706 -1.0 -1.0 -1.0 5727.05406049 56.0851687821 1444.476557
-3.22382824197 0.693441666116 -1.0 -1.0 -1.0 5388.88888889 54.2987345612 172.420083684
-3.14797018252 0.900684024596 -1.0 -1.0 -1.0 5557.84313725 31.266690974 148.79514337
-2.76571584995 1.15112144545 -1.0 -1.0 -1.0 22370.2941176 70.4009913281 175.991597812
-2.90853894452 1.32050022749 -1.0 -1.0 -1.0 5470.48611111 56.7268510102 405.706998214
-3.0198239674 0.916177952162 -1.0 -1.0 -1.0 5945.22925332 54.9191810885 2045.39388904
-2.05466874372 1.01226733955 71.2406672192 124.197109216 124.197109216 5352.31092437 50.6587305663 394.050005599
-3.06519788417 1.01284743777 -1.0 -1.0 -1.0 5484.06862745 51.2889432005 169.624755376
-2.9643049535 1.2345248487 -1.0 -1.0 -1.0 5317.53131808 58.3939989996 429.412424113
-1.57662665465 1.19522774441 35.7130430775 72.6391222065 72.6391222065 15361.4379085 65.4017226619 941.270652213
-3.46181595438 0.779221062192 1100.94167131 2285.06620424 2285.06620424 5981.93744164 65.7263250737 1672.12599778
-3.46181595438 0.779221062192 1100.94167131 2285.06620424 2285.06620424 5981.93744164 69.3227560745 1672.12599778
-3.46181595438 0.779221062192 1100.94167131 2285.06620424 2285.06620424 5981.93744164 84.956086242 1672.12599778
-3.11648900423 0.811417034181 -1.0 -1.0 -1.0 9718.45238095 54.6146945719 393.117327192
-2.90411811509 0.96233607736 -1.0 -1.0 -1.0 15111.1029412 59.7642754135 568.065739743
-2.93751429422 1.04188660311 -1.0 -1.0 -1.0 4879.84068627 53.3264968437 583.190999997
-3.29774960389 0.618498302575 -1.0 -1.0 -1.0 5911.44149968 53.6113951856 1155.29977725
-1.68145432722 1.05074626253 25.3285339604 39.3149940386 39.3149940386 6546.32352941 50.8996144633 241.734612923
-0.866196398822 1.0447300934 4.62459321189 6.47809195343 6.47809195343 6800.0 35.0353665813 122.423491254
