[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.1102850926 3.55498421018 64.9617764525 135.199867977 135.199867977 7840.68627451 68.4977171924 582.12899999 433.156868902
-2.03900309967 0.651536517552 51.8893607437 86.9594263301 86.9594263301 5271.97128852 50.0638500289 396.18354979 336.11829299
-0.886077747857 1.02402446309 3.94450592809 7.53602158381 7.53602158381 5350.51470588 53.2140540632 166.676141829 124.70074514
-1.41216398147 2.03088265477 42.2589863522 84.0065610391 84.0065610391 8002.2875817 56.7631918203 388.055497362 300.571948741
-1.9166833624 1.49826037754 66.884787606 147.739735719 147.739735719 7690.13480392 60.8587101643 419.350599992 381.841387042
-2.8338457404 0.522450297561 112.497496268 212.6054167 212.6054167 4735.36267654 56.1330752661 700.804758825 585.354687127
-1.91435288332 1.82130599478 33.1114369063 55.963302393 55.963302393 11892.2413793 54.1002897637 265.100066512 67.2168820442
-1.91435288332 1.82130599478 33.1114369063 55.963302393 55.963302393 11892.2413793 62.7711681726 265.100066512 171.173842349
-2.12207144861 0.951166783637 46.8248684635 83.5959482335 83.5959482335 5109.80392157 58.1545790757 344.007803634 322.577148022
-3.41389922616 0.994723040465 -1.0 -1.0 -1.0 5447.91666667 65.1995316056 0.0 40.138718638
-2.41850372354 1.56409438293 499.625086303 686.26201455 686.26201455 15067.5375074 60.0669179035 1947.91804585 590.322267546
-2.41850372354 1.56409438293 499.625086303 686.26201455 686.26201455 15067.5375074 75.0637715349 1947.91804585 153.73452697
-2.41850372354 1.56409438293 499.625086303 686.26201455 686.26201455 15067.5375074 78.8939062126 1947.91804585 790.540274704
-1.34713309474 1.11708951688 17.9417013655 26.9376370397 26.9376370397 7970.58823529 43.7288530097 279.517164727 237.355443456
-1.38043447129 0.831014671811 8.47371725142 14.6956233512 14.6956233512 5952.08333333 54.6653036545 199.711523737 168.366834846
-2.09803382564 0.819772216984 40.2442446525 76.3751471986 76.3751471986 5983.45588235 56.1531964297 369.89062303 327.155611308
-0.882264553296 0.924327489574 3.79327034741 8.87698658862 8.87698658862 4995.09803922 60.8614622892 107.101956403 95.6743212475
-2.00049202222 0.809117215064 62.628995329 110.688148112 110.688148112 27492.622549 62.0917093295 570.014084409 249.216718479
-2.00049202222 0.809117215064 62.628995329 110.688148112 110.688148112 27492.622549 104.065639948 570.014084409 291.021754473
-1.66975316547 0.949677523225 28.1081674287 56.8268784639 56.8268784639 4785.83333333 45.7796930758 217.741677548 182.007354435
-3.0604263708 0.680967879596 477.963187053 903.126534769 903.126534769 5555.44976611 53.2973927126 1305.74910545 375.190339734
-3.0604263708 0.680967879596 477.963187053 903.126534769 903.126534769 5555.44976611 56.3231951041 1305.74910545 839.341604909
-2.73765675423 1.82913170339 527.020144369 790.40464588 790.40464588 5574.52512255 54.5790194491 1307.83714659 300.55538794
-2.73765675423 1.82913170339 527.020144369 790.40464588 790.40464588 5574.52512255 57.620977419 1307.83714659 894.074507278
-2.17560680113 0.792952275549 63.2280399191 118.886554503 118.886554503 5382.5280112 55.2174892525 613.468061984 453.8845135
-1.08757371773 1.25585020755 8.67187182917 15.2194291009 15.2194291009 7357.53676471 52.6323387768 199.127230277 125.513851616
-1.26244203226 1.40042013973 12.011421191 21.3980953489 21.3980953489 7137.5 40.2197403843 213.5718574 172.373735714
-1.40354981465 1.69695183959 13.3374107455 20.2595719477 20.2595719477 5840.68627451 64.1471981798 243.813997282 172.377134643
0.166208206961 10.8067802104 17.7295067771 23.4053575291 23.4053575291 6579.53047264 24.9974394096 261.228340873 232.802479766
-2.94525788536 1.23375969799 787.814438671 1026.14464974 1026.14464974 5183.14567206 54.4127131284 2352.15665914 971.327614951
-2.94525788536 1.23375969799 787.814438671 1026.14464974 1026.14464974 5183.14567206 57.0485947441 2352.15665914 868.445758218
-2.20621891769 0.783159011979 54.3281033999 100.38875834 100.38875834 4971.8627451 53.5432989504 531.53843831 395.704224234
-1.93165257121 1.12610059249 57.1296676399 104.033756602 104.033756602 6687.10171569 60.0140517409 495.000185616 213.976268001
-1.93165257121 1.12610059249 57.1296676399 104.033756602 104.033756602 6687.10171569 64.2484096199 495.000185616 160.673597916
-2.81317464072 1.00931568821 -1.0 -1.0 -1.0 18133.5784314 101.438211898 0.0 49.8448780878
-2.32255983055 2.60715078003 1060.03030524 1193.56750909 1193.56750909 5476.063742 57.3547886874 2614.51039001 1994.38957207
0.0595407337691 1.42209491417 1.34427420538 1.89808060759 1.89808060759 17820.0805322 39.4965684797 0.0 39.1178781322
0.0595407337691 1.42209491417 1.34427420538 1.89808060759 1.89808060759 17820.0805322 34.3919758606 0.0 32.4291200009
-2.57146503262 1.56277152695 474.901777733 846.880314682 846.880314682 5381.86831551 56.6598083987 1171.66692059 287.5100407
-2.57146503262 1.56277152695 474.901777733 846.880314682 846.880314682 5381.86831551 60.8430755234 1171.66692059 625.566535501
-1.91731853233 1.17483609172 39.434119979 76.4834307088 76.4834307088 4121.93627451 52.1353472367 304.114550184 285.975366134
-1.32647547095 0.709243123881 9.17937924844 14.8188683654 14.8188683654 4976.96078431 67.2488493947 206.884359816 158.91995351
-1.70522764087 1.39919576968 35.0216924559 71.2793443998 71.2793443998 4626.76518883 61.0377055834 298.585652102 234.773482825
-0.72412963086 1.57113772348 6.99172430993 7.1785385796 7.1785385796 3243.87254902 45.5745103437 151.932800041 109.669171661
-2.75034778138 1.92098938039 1001.94038532 1915.39048969 1915.39048969 4916.22112211 57.4450621538 1592.53618001 649.046593654
-2.75034778138 1.92098938039 1001.94038532 1915.39048969 1915.39048969 4916.22112211 58.7617197803 1592.53618001 595.543414786
-1.52098234681 1.23629652816 21.2658158564 39.4967547227 39.4967547227 6940.625 60.0724557993 299.473910799 241.134764061
-1.38607131957 0.604247491486 8.95141816075 16.6006538227 16.6006538227 6401.96078431 50.8047212029 192.98201634 156.423989453
-1.57836740499 0.985310433806 14.0798878202 32.2310430869 32.2310430869 8928.03921569 67.8983189485 182.544894373 171.519321793
-2.92095251762 1.05823857458 -1.0 -1.0 -1.0 24170.8333333 88.0081243356 64.2633310054 53.864264794
-1.78682761466 0.618247935401 19.8933602098 47.3749215017 47.3749215017 5368.87254902 58.5802034837 306.172194263 270.290563815
-1.5980310944 0.553883150208 9.43197419708 16.5522889904 16.5522889904 5147.27766106 47.5916000029 250.666167633 187.463218818
-2.13737742066 0.791077260937 76.4846978649 153.245781763 153.245781763 4886.63398693 49.6824044332 483.177117317 422.483007497
-1.73792589555 0.763769579173 23.3467012352 40.4019831235 40.4019831235 4912.56366183 53.2215832807 509.971434269 375.16052316
-1.90840179956 1.77500084691 64.8039540116 133.267482999 133.267482999 6452.25840336 59.9080527014 402.579819488 375.812415459
-2.70289065431 0.656306138882 126.329575944 226.128312935 226.128312935 6195.50420168 54.050571878 708.465501681 262.400005196
-2.70289065431 0.656306138882 126.329575944 226.128312935 226.128312935 6195.50420168 57.3449186796 708.465501681 280.962258403
-1.757976936 1.04390151348 38.4003502852 68.9998799863 68.9998799863 4847.12885154 47.6416496324 413.938959151 367.503442992
-2.76925144912 1.88974255934 724.012223896 1390.15714556 1390.15714556 4840.86089608 53.2482854571 1491.87723918 606.257077926
-2.76925144912 1.88974255934 724.012223896 1390.15714556 1390.15714556 4840.86089608 54.6883708397 1491.87723918 549.952476727
