[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.1997528097 0.882202378373 61.4294113536 121.40164579 121.40164579 4219.69268477 57.1603896148 641.799303762 513.156746386
-1.88040404508 1.14245202744 64.7450754926 128.943672771 128.943672771 5642.58169935 50.4303466276 524.997996676 468.580233311
-1.63647442378 0.768673085739 17.7003248371 35.0530428028 35.0530428028 6229.96323529 55.7784361932 361.190343941 296.794735992
-1.20156384988 1.05820602547 9.69894394429 18.9375316709 18.9375316709 11619.6078431 58.7336185686 224.453258715 147.557132709
-1.06384487071 1.75484928045 8.60198790994 21.5364039298 21.5364039298 4377.45098039 46.8775726402 178.643082788 134.580016949
-1.72358606007 1.17994834059 32.3820129867 59.7345889722 59.7345889722 5052.97619048 50.4449638556 342.390235053 247.453213001
-1.45629924066 1.28238456525 26.5374186662 47.563833266 47.563833266 5305.37766831 45.0327231097 327.743131309 293.329296708
-1.79546944164 0.628978176218 11.3663665847 18.8900060708 18.8900060708 4138.78676471 56.7668021787 231.305209516 209.404484404
-2.32990298215 1.03069707848 112.504466477 215.374764471 215.374764471 5079.06301824 56.0081834111 620.300956828 631.893079531
-2.78781715144 0.781321294311 410.687127409 547.359596017 547.359596017 16358.3176537 48.4780334746 2103.53509001 491.618251573
-2.78781715144 0.781321294311 410.687127409 547.359596017 547.359596017 16358.3176537 68.6967911635 2103.53509001 689.360159802
-2.78781715144 0.781321294311 410.687127409 547.359596017 547.359596017 16358.3176537 69.8076010474 2103.53509001 782.683734264
-2.18549681079 0.620776080647 38.7227914592 80.9601444652 80.9601444652 5458.9869281 53.1939152952 459.106073709 347.052752765
-1.66787272178 1.02377869871 39.6053804055 62.7563992037 62.7563992037 5507.84313725 52.5258298927 480.721730117 384.320210002
-2.65172436284 1.09486167331 332.217111651 606.269896431 606.269896431 4896.78431373 54.9817117645 1618.03865987 653.353915288
-2.65172436284 1.09486167331 332.217111651 606.269896431 606.269896431 4896.78431373 56.3732085059 1618.03865987 604.29548107
-1.39107288639 0.767506137403 6.85159320147 13.6032009683 13.6032009683 5558.33333333 55.5560752724 163.782215756 147.992279835
-3.13481140934 1.17074169735 -1.0 -1.0 -1.0 5520.93137255 39.8294831416 96.551322072 64.2620553387
-2.23548440237 0.96666929759 93.8455272636 181.038435031 181.038435031 5736.04826546 51.2718399508 714.225654674 220.545117942
-2.23548440237 0.96666929759 93.8455272636 181.038435031 181.038435031 5736.04826546 55.10410593 714.225654674 423.149419644
-1.55330878306 0.874447586363 12.8776353688 28.2769873193 28.2769873193 7631.12745098 61.1692718032 338.474596911 275.598817142
-2.52548453675 1.76151118918 227.515930423 464.004381525 464.004381525 5373.86934673 53.5298470975 596.928562042 215.038486427
-2.52548453675 1.76151118918 227.515930423 464.004381525 464.004381525 5373.86934673 56.6957580857 596.928562042 328.670373513
-3.33281180766 0.831344775426 -1.0 -1.0 -1.0 6037.99019608 10.9707612151 0.0 39.9853657379
-2.79512644518 1.01927060147 589.963643173 772.112169503 772.112169503 4766.84463307 56.46830809 2372.0688781 1006.91734726
-2.79512644518 1.01927060147 589.963643173 772.112169503 772.112169503 4766.84463307 56.46830809 2372.0688781 909.886035927
-1.64371984155 0.825119616821 13.6206162421 26.6425974026 26.6425974026 5228.75816993 49.7755341465 242.317141885 183.888962744
-1.71113416139 0.675836373919 12.0761354072 22.5458160402 22.5458160402 6016.60539216 49.7462104917 233.556416767 173.765407114
-1.48784760029 0.984875992749 13.1871220256 23.585714225 23.585714225 5711.11111111 44.2915670666 271.373690667 236.255695434
-1.96743860223 1.02404588916 46.7643861903 79.4857785732 79.4857785732 5054.06862745 54.1107049306 439.683824509 337.968977929
-2.40023187998 2.05190557609 231.202448336 420.904838482 420.904838482 5552.81862745 56.9048243408 666.144408844 500.049804598
-2.8204518374 1.41498322355 802.807721074 1503.42506644 1503.42506644 5338.46003135 56.7779997883 1502.60834664 1350.40726113
-2.3671905994 1.38232109523 210.041456307 366.670520963 366.670520963 5117.27819237 55.5623724488 798.451691328 622.090401105
-1.48683441735 1.56471203233 22.2753426712 43.0577494645 43.0577494645 12524.3137255 49.0199093927 304.69806105 52.3794941523
-1.48683441735 1.56471203233 22.2753426712 43.0577494645 43.0577494645 12524.3137255 72.1228059935 304.69806105 205.31317869
-1.38373449895 0.969249192051 8.58015793688 16.1015036047 16.1015036047 7021.92118227 56.6485247815 227.566435183 200.232966463
-2.53290536208 0.817354448904 140.740588658 258.687603709 258.687603709 5653.02139037 57.0547436814 739.73247264 682.588544302
-2.60880115909 0.760509389135 183.639615832 333.736655502 333.736655502 5326.84844771 55.7201218325 833.842540762 761.754117087
-1.44694431629 2.02735899263 29.0264873408 59.4347987101 59.4347987101 5031.49752475 42.0399137056 238.631999993 209.115532491
